"","hour","floor","direction","count"
"628","3","09","up",2
"629","4","09","up",3
"630","5","09","up",3
"631","6","09","up",21
"632","7","09","up",16
"633","8","09","up",21
"634","9","09","up",28
"635","10","09","up",57
"636","11","09","up",35
"637","12","09","up",13
"638","13","09","up",18
"639","14","09","up",40
"640","15","09","up",29
"641","16","09","up",19
"642","17","09","up",24
"643","18","09","up",14
"644","19","09","up",15
"645","20","09","up",4
"646","21","09","up",6
"647","22","09","up",2
"648","23","09","up",2
"649","0","10","up",0
"650","1","10","up",1
"651","2","10","up",0
"652","3","10","up",0
"653","4","10","up",0
"654","5","10","up",35
"655","6","10","up",233
"656","7","10","up",179
"657","8","10","up",24
"658","9","10","up",15
"659","10","10","up",22
"660","11","10","up",41
"661","12","10","up",118
"662","13","10","up",33
"663","14","10","up",21
"664","15","10","up",44
"665","16","10","up",22
"666","17","10","up",31
"667","18","10","up",20
"668","19","10","up",7
"669","20","10","up",6
"670","21","10","up",23
"671","22","10","up",7
"672","23","10","up",0
"673","0","11","up",0
"674","1","11","up",0
"675","2","11","up",0
"676","3","11","up",1
"677","4","11","up",0
"678","5","11","up",0
"679","6","11","up",3
"680","7","11","up",9
"681","8","11","up",9
"682","9","11","up",40
"683","10","11","up",37
"684","11","11","up",10
"685","12","11","up",5
"686","13","11","up",7
"687","14","11","up",38
"688","15","11","up",42
"689","16","11","up",15
"690","17","11","up",16
"691","18","11","up",6
"692","19","11","up",1
"693","20","11","up",2
"694","21","11","up",0
"695","22","11","up",0
"696","23","11","up",1
"697","0","12","up",1
"698","1","12","up",0
"699","2","12","up",0
"700","3","12","up",0
"701","4","12","up",0
"702","5","12","up",0
"703","6","12","up",0
"704","7","12","up",4
"705","8","12","up",5
"706","9","12","up",42
"707","10","12","up",31
"708","11","12","up",20
"709","12","12","up",12
"710","13","12","up",17
"711","14","12","up",37
"712","15","12","up",43
"713","16","12","up",12
"714","17","12","up",11
"715","18","12","up",6
"716","19","12","up",2
"717","20","12","up",1
"718","21","12","up",1
"719","22","12","up",0
"720","23","12","up",1
"721","0","13","up",0
"722","1","13","up",0
"723","2","13","up",0
"724","3","13","up",0
"725","4","13","up",0
"726","5","13","up",0
"727","6","13","up",1
"728","7","13","up",11
"729","8","13","up",16
"730","9","13","up",40
"731","10","13","up",26
"732","11","13","up",16
"733","12","13","up",36
"734","13","13","up",30
"735","14","13","up",18
"736","15","13","up",28
"737","16","13","up",36
"738","17","13","up",20
"739","18","13","up",14
"740","19","13","up",5
"741","20","13","up",4
"742","21","13","up",0
"743","22","13","up",0
"744","23","13","up",0
"745","0","14","up",4
"746","1","14","up",5
"747","2","14","up",4
"748","3","14","up",3
"749","4","14","up",3
"750","5","14","up",7
"751","6","14","up",0
"752","7","14","up",9
"753","8","14","up",11
"754","9","14","up",26
"755","10","14","up",11
"756","11","14","up",12
"757","12","14","up",12
"758","13","14","up",4
"759","14","14","up",29
"760","15","14","up",30
"761","16","14","up",8
"762","17","14","up",20
"763","18","14","up",5
"764","19","14","up",6
"765","20","14","up",5
"766","21","14","up",7
"767","22","14","up",10
"768","23","14","up",4
"769","0","15","up",0
"770","1","15","up",0
"771","2","15","up",0
"772","3","15","up",0
"773","4","15","up",0
"774","5","15","up",0
"775","6","15","up",0
"776","7","15","up",0
"777","8","15","up",0
"778","9","15","up",0
"779","10","15","up",0
"780","11","15","up",0
"781","12","15","up",0
"782","13","15","up",0
"783","14","15","up",0
"784","15","15","up",0
"785","16","15","up",0
"786","17","15","up",0
"787","18","15","up",0
"788","19","15","up",0
"789","20","15","up",0
"790","21","15","up",0
"791","22","15","up",0
"792","23","15","up",0
"793","0","B1","up",77
"794","1","B1","up",52
"795","2","B1","up",34
"796","3","B1","up",14
"797","4","B1","up",11
"798","5","B1","up",13
"799","6","B1","up",255
"800","7","B1","up",690
"801","8","B1","up",701
"802","9","B1","up",552
"803","10","B1","up",485
"804","11","B1","up",626
"805","12","B1","up",737
"806","13","B1","up",644
"807","14","B1","up",527
"808","15","B1","up",446
"809","16","B1","up",541
"810","17","B1","up",623
"811","18","B1","up",635
"812","19","B1","up",517
"813","20","B1","up",308
"814","21","B1","up",305
"815","22","B1","up",105
"816","23","B1","up",56
"817","0","B3","up",6
"818","1","B3","up",5
"819","2","B3","up",1
"820","3","B3","up",0
"821","4","B3","up",21
"822","5","B3","up",19
"823","6","B3","up",180
"824","7","B3","up",469
"825","8","B3","up",398
"826","9","B3","up",268
"827","10","B3","up",174
"828","11","B3","up",167
"829","12","B3","up",200
"830","13","B3","up",179
"831","14","B3","up",203
"832","15","B3","up",167
"833","16","B3","up",170
"834","17","B3","up",150
"835","18","B3","up",126
"836","19","B3","up",66
"837","20","B3","up",63
"838","21","B3","up",40
"839","22","B3","up",29
"840","23","B3","up",6
"841","0","B4","up",16
"842","1","B4","up",15
"843","2","B4","up",9
"844","3","B4","up",16
"845","4","B4","up",3
"846","5","B4","up",13
"847","6","B4","up",80
"848","7","B4","up",366
"849","8","B4","up",482
"850","9","B4","up",426
"851","10","B4","up",426
"852","11","B4","up",378
"853","12","B4","up",389
"854","13","B4","up",433
"855","14","B4","up",415
"856","15","B4","up",388
"857","16","B4","up",471
"858","17","B4","up",456
"859","18","B4","up",318
"860","19","B4","up",181
"861","20","B4","up",106
"862","21","B4","up",62
"863","22","B4","up",19
"864","23","B4","up",66
