"","hour","floor","direction","count"
"328","15","02","up",126
"329","16","02","up",148
"330","17","02","up",83
"331","18","02","up",27
"332","19","02","up",22
"333","20","02","up",8
"334","21","02","up",6
"335","22","02","up",7
"336","23","02","up",2
"337","0","04","up",8
"338","1","04","up",9
"339","2","04","up",2
"340","3","04","up",6
"341","4","04","up",3
"342","5","04","up",3
"343","6","04","up",10
"344","7","04","up",84
"345","8","04","up",132
"346","9","04","up",146
"347","10","04","up",174
"348","11","04","up",203
"349","12","04","up",185
"350","13","04","up",193
"351","14","04","up",231
"352","15","04","up",189
"353","16","04","up",192
"354","17","04","up",168
"355","18","04","up",129
"356","19","04","up",103
"357","20","04","up",56
"358","21","04","up",34
"359","22","04","up",16
"360","23","04","up",10
"361","0","08","up",10
"362","1","08","up",7
"363","2","08","up",3
"364","3","08","up",1
"365","4","08","up",1
"366","5","08","up",3
"367","6","08","up",30
"368","7","08","up",110
"369","8","08","up",159
"370","9","08","up",200
"371","10","08","up",222
"372","11","08","up",222
"373","12","08","up",188
"374","13","08","up",218
"375","14","08","up",228
"376","15","08","up",203
"377","16","08","up",192
"378","17","08","up",147
"379","18","08","up",151
"380","19","08","up",121
"381","20","08","up",80
"382","21","08","up",63
"383","22","08","up",35
"384","23","08","up",7
"385","0","09","up",2
"386","1","09","up",5
"387","2","09","up",1
"388","3","09","up",0
"389","4","09","up",0
"390","5","09","up",4
"391","6","09","up",18
"392","7","09","up",25
"393","8","09","up",50
"394","9","09","up",61
"395","10","09","up",83
"396","11","09","up",66
"397","12","09","up",53
"398","13","09","up",75
"399","14","09","up",93
"400","15","09","up",67
"401","16","09","up",96
"402","17","09","up",57
"403","18","09","up",53
"404","19","09","up",29
"405","20","09","up",18
"406","21","09","up",24
"407","22","09","up",15
"408","23","09","up",6
"409","0","10","up",1
"410","1","10","up",1
"411","2","10","up",0
"412","3","10","up",1
"413","4","10","up",0
"414","5","10","up",1
"415","6","10","up",1
"416","7","10","up",5
"417","8","10","up",91
"418","9","10","up",72
"419","10","10","up",97
"420","11","10","up",110
"421","12","10","up",43
"422","13","10","up",79
"423","14","10","up",183
"424","15","10","up",68
"425","16","10","up",84
"426","17","10","up",51
"427","18","10","up",21
"428","19","10","up",12
"429","20","10","up",15
"430","21","10","up",10
"431","22","10","up",11
"432","23","10","up",0
"433","0","11","up",1
"434","1","11","up",3
"435","2","11","up",1
"436","3","11","up",2
"437","4","11","up",0
"438","5","11","up",6
"439","6","11","up",5
"440","7","11","up",22
"441","8","11","up",23
"442","9","11","up",38
"443","10","11","up",36
"444","11","11","up",71
"445","12","11","up",49
"446","13","11","up",33
"447","14","11","up",91
"448","15","11","up",70
"449","16","11","up",57
"450","17","11","up",61
"451","18","11","up",23
"452","19","11","up",19
"453","20","11","up",20
"454","21","11","up",11
"455","22","11","up",4
"456","23","11","up",3
"457","0","12","up",6
"458","1","12","up",2
"459","2","12","up",0
"460","3","12","up",2
"461","4","12","up",0
"462","5","12","up",2
"463","6","12","up",8
"464","7","12","up",17
"465","8","12","up",22
"466","9","12","up",47
"467","10","12","up",34
"468","11","12","up",50
"469","12","12","up",44
"470","13","12","up",26
"471","14","12","up",40
"472","15","12","up",42
"473","16","12","up",33
"474","17","12","up",54
"475","18","12","up",42
"476","19","12","up",33
"477","20","12","up",20
"478","21","12","up",47
"479","22","12","up",26
"480","23","12","up",5
"481","0","13","up",3
"482","1","13","up",3
"483","2","13","up",0
"484","3","13","up",2
"485","4","13","up",0
"486","5","13","up",4
"487","6","13","up",11
"488","7","13","up",18
"489","8","13","up",24
"490","9","13","up",26
"491","10","13","up",21
"492","11","13","up",39
"493","12","13","up",29
"494","13","13","up",15
"495","14","13","up",26
"496","15","13","up",41
"497","16","13","up",44
"498","17","13","up",37
"499","18","13","up",11
"500","19","13","up",20
"501","20","13","up",15
"502","21","13","up",17
"503","22","13","up",9
"504","23","13","up",1
"505","0","14","up",3
"506","1","14","up",2
"507","2","14","up",0
"508","3","14","up",0
"509","4","14","up",2
"510","5","14","up",16
"511","6","14","up",31
"512","7","14","up",18
"513","8","14","up",22
"514","9","14","up",21
"515","10","14","up",34
"516","11","14","up",32
"517","12","14","up",38
"518","13","14","up",26
"519","14","14","up",37
"520","15","14","up",30
"521","16","14","up",31
"522","17","14","up",38
"523","18","14","up",29
"524","19","14","up",23
"525","20","14","up",16
"526","21","14","up",7
"527","22","14","up",2
"528","23","14","up",2
"529","0","15","up",0
"530","1","15","up",0
"531","2","15","up",0
"532","3","15","up",0
"533","4","15","up",0
"534","5","15","up",0
"535","6","15","up",0
"536","7","15","up",0
"537","8","15","up",0
"538","9","15","up",0
"539","10","15","up",0
"540","11","15","up",0
"541","12","15","up",0
"542","13","15","up",0
"543","14","15","up",0
"544","15","15","up",0
"545","16","15","up",0
"546","17","15","up",0
"547","18","15","up",0
"548","19","15","up",0
"549","20","15","up",0
"550","21","15","up",0
"551","22","15","up",0
"552","23","15","up",0
"553","0","B1","up",32
"554","1","B1","up",30
"555","2","B1","up",15
"556","3","B1","up",14
"557","4","B1","up",12
"558","5","B1","up",41
"559","6","B1","up",387
"560","7","B1","up",683
"561","8","B1","up",601
"562","9","B1","up",541
"563","10","B1","up",496
"564","11","B1","up",504
"565","12","B1","up",559
"566","13","B1","up",564
"567","14","B1","up",507
"568","15","B1","up",520
"569","16","B1","up",514
"570","17","B1","up",563
"571","18","B1","up",597
"572","19","B1","up",592
"573","20","B1","up",527
"574","21","B1","up",316
"575","22","B1","up",195
"576","23","B1","up",124
