,floor,hour,week,direction,total,count,week_avgWait
117,1,8,4,down,266.01,26,10.23115385
118,1,8,4,up,1642.19,72,22.80819444
119,1,8,5,down,622.08,42,14.81142857
120,1,8,5,up,1869.33,114,16.39763158
121,1,8,6,down,523.76,30,17.45866667
122,1,8,6,up,1276.45,75,17.01933333
123,1,9,0,down,234.57,18,13.03166667
124,1,9,0,up,671.45,53,12.66886792
125,1,9,1,down,494.88,42,11.78285714
126,1,9,1,up,1277.33,66,19.35348485
127,1,9,2,down,352.49,32,11.0153125
128,1,9,2,up,1811.88,80,22.6485
129,1,9,3,down,443.06,31,14.29225806
130,1,9,3,up,1905.74,78,24.4325641
131,1,9,4,down,381.8,30,12.72666667
132,1,9,4,up,1465.72,74,19.80702703
133,1,9,5,down,521.93,38,13.735
134,1,9,5,up,2321.82,110,21.10745455
135,1,9,6,down,288.83,24,12.03458333
136,1,9,6,up,1065.12,70,15.216
137,1,10,0,down,582.54,31,18.7916129
138,1,10,0,up,912.53,50,18.2506
139,1,10,1,down,440.46,33,13.34727273
140,1,10,1,up,1586.8,68,23.33529412
141,1,10,2,down,447.05,42,10.64404762
142,1,10,2,up,1601.06,66,24.25848485
143,1,10,3,down,576.6,45,12.81333333
144,1,10,3,up,1453.77,74,19.64554054
145,1,10,4,down,415.72,39,10.65948718
146,1,10,4,up,1566.91,71,22.06915493
147,1,10,5,down,626.87,64,9.79484375
148,1,10,5,up,2113.59,109,19.39073394
149,1,10,6,down,340.74,22,15.48818182
150,1,10,6,up,1013.9,67,15.13283582
151,1,11,0,down,807.08,53,15.22792453
152,1,11,0,up,815.26,57,14.30280702
153,1,11,1,down,454.63,52,8.742884615
154,1,11,1,up,1098.68,62,17.72064516
155,1,11,2,down,442.62,45,9.836
156,1,11,2,up,863.21,57,15.14403509
157,1,11,3,down,471.3,48,9.81875
158,1,11,3,up,1052.66,65,16.19476923
159,1,11,4,down,416,41,10.14634146
160,1,11,4,up,1185.2,60,19.75333333
161,1,11,5,down,437.18,63,6.939365079
162,1,11,5,up,1483.4,88,16.85681818
163,1,11,6,down,732.14,52,14.07961538
164,1,11,6,up,1167.89,70,16.68414286
165,1,12,0,down,1151.46,57,20.20105263
166,1,12,0,up,609.99,42,14.52357143
167,1,12,1,down,483.54,46,10.51173913
168,1,12,1,up,726.65,55,13.21181818
169,1,12,2,down,495.62,52,9.531153846
170,1,12,2,up,1147.4,58,19.78275862
171,1,12,3,down,398.54,42,9.489047619
172,1,12,3,up,997.81,56,17.81803571
173,1,12,4,down,497.36,55,9.042909091
174,1,12,4,up,899.82,58,15.51413793
175,1,12,5,down,672.82,68,9.894411765
176,1,12,5,up,1773.96,81,21.90074074
177,1,12,6,down,863.29,52,16.60173077
178,1,12,6,up,692.54,49,14.13346939
179,1,13,0,down,764.51,51,14.99039216
180,1,13,0,up,876.69,55,15.93981818
181,1,13,1,down,438.31,44,9.961590909
182,1,13,1,up,1200.8,65,18.47384615
183,1,13,2,down,317.74,32,9.929375
184,1,13,2,up,1149.68,70,16.424
185,1,13,3,down,461.3,39,11.82820513
186,1,13,3,up,1104.52,63,17.53206349
187,1,13,4,down,402.27,36,11.17416667
188,1,13,4,up,1289.04,67,19.23940299
189,1,13,5,down,548.99,48,11.43729167
190,1,13,5,up,1737.94,101,17.20732673
191,1,13,6,down,575.88,42,13.71142857
192,1,13,6,up,1010.28,65,15.54276923
193,1,14,0,down,593.22,30,19.774
194,1,14,0,up,945.62,60,15.76033333
195,1,14,1,down,548.65,46,11.92717391
196,1,14,1,up,1320.44,70,18.86342857
197,1,14,2,down,451.38,37,12.19945946
198,1,14,2,up,1268.18,58,21.86517241
199,1,14,3,down,358.56,38,9.435789474
200,1,14,3,up,1320.61,64,20.63453125
201,1,14,4,down,357.72,31,11.53935484
202,1,14,4,up,1113.65,64,17.40078125
203,1,14,5,down,531.69,52,10.22480769
204,1,14,5,up,2007.05,99,20.27323232
205,1,14,6,down,538.29,32,16.8215625
206,1,14,6,up,841.57,52,16.18403846
207,1,15,0,down,525.87,38,13.83868421
208,1,15,0,up,760.95,44,17.29431818
209,1,15,1,down,342.72,31,11.05548387
210,1,15,1,up,1146.87,69,16.62130435
211,1,15,2,down,275.95,31,8.901612903
212,1,15,2,up,1362.62,72,18.92527778
213,1,15,3,down,418.45,33,12.68030303
214,1,15,3,up,1234.15,66,18.69924242
215,1,15,4,down,182.13,34,5.356764706
216,1,15,4,up,873.3,64,13.6453125
217,1,15,5,down,382.87,49,7.813673469
218,1,15,5,up,1975,104,18.99038462
219,1,15,6,down,521.33,37,14.09
220,1,15,6,up,389.89,30,12.99633333
221,1,16,0,down,467.02,40,11.6755
222,1,16,0,up,510.75,44,11.60795455
223,1,16,1,down,281.41,33,8.527575758
224,1,16,1,up,1227.09,67,18.31477612
225,1,16,2,down,367.13,38,9.661315789
226,1,16,2,up,1274.25,67,19.01865672
227,1,16,3,down,329.83,34,9.700882353
228,1,16,3,up,1131.96,56,20.21357143
229,1,16,4,down,385.98,38,10.15736842
230,1,16,4,up,1281.1,74,17.31216216
231,1,16,5,down,442.14,49,9.023265306
232,1,16,5,up,2046.52,100,20.4652
233,1,16,6,down,400.55,42,9.536904762
234,1,16,6,up,557.41,39,14.2925641
235,1,17,0,down,616.17,39,15.79923077
236,1,17,0,up,403.46,39,10.34512821
237,1,17,1,down,472.67,43,10.99232558
238,1,17,1,up,1063.77,56,18.99589286
239,1,17,2,down,348.76,37,9.425945946
240,1,17,2,up,1172.11,54,21.70574074
241,1,17,3,down,480.08,46,10.43652174
242,1,17,3,up,1171.19,61,19.19983607
243,1,17,4,down,405.63,37,10.96297297
244,1,17,4,up,856.56,54,15.86222222
245,1,17,5,down,584.3,61,9.578688525
246,1,17,5,up,1634.89,87,18.79183908
247,1,17,6,down,521.38,43,12.12511628
248,1,17,6,up,538.09,43,12.51372093
249,1,18,0,down,694.59,45,15.43533333
250,1,18,0,up,485.01,34,14.265
251,1,18,1,down,459.2,33,13.91515152
252,1,18,1,up,757.96,51,14.86196078
253,1,18,2,down,299.85,31,9.672580645
254,1,18,2,up,843.32,46,18.33304348
255,1,18,3,down,453.64,36,12.60111111
256,1,18,3,up,784.74,43,18.24976744
257,1,18,4,down,168.69,15,11.246
258,1,18,4,up,583.44,24,24.31
259,1,18,5,down,244.1,26,9.388461538
260,1,18,5,up,746.61,50,14.9322
261,1,18,6,down,548.43,42,13.05785714
262,1,18,6,up,390.98,38,10.28894737
263,1,19,0,down,296.98,24,12.37416667
264,1,19,0,up,593.9,44,13.49772727
265,1,19,1,down,343.73,33,10.41606061
266,1,19,1,up,851.1,55,15.47454545
267,1,19,2,down,266.88,27,9.884444444
268,1,19,2,up,823.88,60,13.73133333
