,floor,hour,week,direction,total,count,week_avgWait
1110,9,11,6,down,168.95,10,16.895
1111,9,11,6,up,25.7,1,25.7
1112,9,12,0,down,228.77,10,22.877
1113,9,12,1,down,125.7,7,17.95714286
1114,9,12,2,down,131.47,9,14.60777778
1115,9,12,3,down,199.36,14,14.24
1116,9,12,4,down,346.8,15,23.12
1117,9,12,5,down,440.42,22,20.01909091
1118,9,12,6,down,232.22,11,21.11090909
1119,9,13,0,down,133.95,8,16.74375
1120,9,13,0,up,9.49,1,9.49
1121,9,13,1,down,209.41,14,14.95785714
1122,9,13,1,up,28.88,1,28.88
1123,9,13,2,down,135.21,10,13.521
1124,9,13,3,down,204.08,9,22.67555556
1125,9,13,4,down,143.36,9,15.92888889
1126,9,13,5,down,448.51,22,20.38681818
1127,9,13,6,down,232.99,12,19.41583333
1128,9,14,0,down,396.92,21,18.90095238
1129,9,14,1,down,579.19,30,19.30633333
1130,9,14,1,up,20.57,1,20.57
1131,9,14,2,down,287.88,19,15.15157895
1132,9,14,3,down,452.72,23,19.68347826
1133,9,14,3,up,16.28,1,16.28
1134,9,14,4,down,352.09,21,16.76619048
1135,9,14,4,up,19,1,19
1136,9,14,5,down,659.05,30,21.96833333
1137,9,14,6,down,352.05,22,16.00227273
1138,9,14,6,up,9.52,1,9.52
1139,9,15,0,down,199.59,13,15.35307692
1140,9,15,0,up,68.34,2,34.17
1141,9,15,1,down,327.48,18,18.19333333
1142,9,15,2,down,198.45,13,15.26538462
1143,9,15,2,up,13.63,1,13.63
1144,9,15,3,down,359.2,18,19.95555556
1145,9,15,4,down,244.41,16,15.275625
1146,9,15,4,up,0.95,1,0.95
1147,9,15,5,down,391.78,23,17.03391304
1148,9,15,5,up,20.12,1,20.12
1149,9,15,6,down,318.49,20,15.9245
1150,9,15,6,up,13.57,1,13.57
1151,9,16,0,down,101.83,6,16.97166667
1152,9,16,1,down,87.36,5,17.472
1153,9,16,2,down,179.73,11,16.33909091
1154,9,16,2,up,8.15,1,8.15
1155,9,16,3,down,217.94,10,21.794
1156,9,16,4,down,128.63,8,16.07875
1157,9,16,5,down,172.93,9,19.21444444
1158,9,16,6,down,97.58,8,12.1975
1159,9,17,0,down,255.81,15,17.054
1160,9,17,1,down,273.63,13,21.04846154
1161,9,17,1,up,76.32,1,76.32
1162,9,17,2,down,211.66,13,16.28153846
1163,9,17,3,down,239.62,13,18.43230769
1164,9,17,3,up,73.36,1,73.36
1165,9,17,4,down,344.5,18,19.13888889
1166,9,17,4,up,21.74,1,21.74
1167,9,17,5,down,360.21,20,18.0105
1168,9,17,5,up,182.58,2,91.29
1169,9,17,6,down,216.89,11,19.71727273
1170,9,18,0,down,89.3,6,14.88333333
1171,9,18,1,down,372.75,17,21.92647059
1172,9,18,2,down,213.39,12,17.7825
1173,9,18,3,down,183.49,13,14.11461538
1174,9,18,4,down,94.64,8,11.83
1175,9,18,5,down,168.01,11,15.27363636
1176,9,18,6,down,130.84,9,14.53777778
1177,9,19,0,down,146.52,6,24.42
1178,9,19,0,up,34.17,1,34.17
1179,9,19,1,down,158.35,11,14.39545455
1180,9,19,2,down,246.55,11,22.41363636
1181,9,19,3,down,111.77,6,18.62833333
1182,9,19,3,up,20.34,1,20.34
1183,9,19,4,down,61.59,5,12.318
1184,9,19,5,down,196.26,12,16.355
1185,9,19,6,down,116.79,8,14.59875
1186,9,20,0,down,42.51,2,21.255
1187,9,20,1,down,159.74,11,14.52181818
1188,9,20,1,up,12.23,1,12.23
1189,9,20,2,down,205.03,11,18.63909091
1190,9,20,2,up,47.35,1,47.35
1191,9,20,3,down,70.75,5,14.15
1192,9,20,4,down,51.39,4,12.8475
1193,9,20,5,down,114.26,6,19.04333333
1194,9,20,6,down,90.06,4,22.515
1195,9,21,0,down,50.27,3,16.75666667
1196,9,21,1,down,90.38,4,22.595
1197,9,21,2,down,122.27,6,20.37833333
1198,9,21,2,up,10.89,1,10.89
1199,9,21,3,down,235.13,9,26.12555556
1200,9,21,5,down,10.91,1,10.91
1201,9,21,5,up,40.81,1,40.81
1202,9,22,0,down,208.46,12,17.37166667
1203,9,22,1,down,140.84,6,23.47333333
